pt1_X,pt1_Y,pt1_Z
0.122485,-0.110064,0.154153
0.114673,-0.109978,0.154343
0.107288,-0.107104,0.154065
0.100135,-0.106720,0.154111
0.093235,-0.108099,0.153912
0.086038,-0.107795,0.153627
0.079183,-0.108193,0.153494
0.072673,-0.111109,0.153211
0.065831,-0.107407,0.152571
0.058951,-0.105893,0.152218
0.052439,-0.104944,0.151840
0.045790,-0.104932,0.151256
0.038828,-0.106791,0.151288
0.032671,-0.107556,0.151094
0.026177,-0.106210,0.150487
0.019889,-0.107521,0.150319
0.013543,-0.106495,0.149383
0.006703,-0.105905,0.149055
0.001211,-0.105219,0.149129
-0.004937,-0.104454,0.148511
-0.011158,-0.104656,0.148216
-0.017018,-0.102482,0.147747
-0.023207,-0.103672,0.147559
-0.029351,-0.103348,0.147225
-0.035029,-0.100975,0.147228
-0.040894,-0.099492,0.146500
-0.047141,-0.100094,0.146147
-0.053360,-0.101035,0.145861
-0.059945,-0.099613,0.145538
-0.066148,-0.097779,0.145369
-0.072350,-0.096004,0.144648
-0.078949,-0.095658,0.144390
-0.085576,-0.097256,0.144128
-0.091943,-0.095082,0.143723
-0.098354,-0.093988,0.143530
-0.104899,-0.094227,0.142758
-0.111090,-0.094139,0.142294
-0.117499,-0.092128,0.141715
-0.123804,-0.091514,0.141209
-0.130150,-0.088960,0.140528
-0.136287,-0.088251,0.140068
-0.142605,-0.088071,0.139395
-0.149137,-0.089356,0.139066
-0.155229,-0.088000,0.138818
-0.160983,-0.087421,0.138728
-0.166920,-0.086629,0.138843
-0.172704,-0.083518,0.138606
-0.178783,-0.085341,0.138184
-0.184212,-0.083232,0.138650
-0.189840,-0.079242,0.138273
-0.195628,-0.077807,0.138613
-0.201560,-0.075561,0.138597
-0.208130,-0.077743,0.138843
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
