pt1_X,pt1_Y,pt1_Z
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.173176,-0.477836,0.083921
-0.169168,-0.472539,0.084638
-0.163203,-0.473725,0.084282
-0.157690,-0.475973,0.084211
-0.153982,-0.474136,0.084353
-0.148573,-0.475004,0.084671
-0.144343,-0.480793,0.084518
-0.140416,-0.480927,0.084470
-0.134312,-0.481851,0.084516
-0.128667,-0.485200,0.084320
-0.124844,-0.480570,0.084734
-0.121166,-0.480621,0.084824
-0.117489,-0.479043,0.085786
-0.112529,-0.481285,0.085832
-0.108686,-0.477768,0.086366
-0.104976,-0.477081,0.086703
-0.099353,-0.482130,0.086510
-0.095330,-0.479137,0.087505
-0.091686,-0.473466,0.088242
-0.086663,-0.482272,0.087706
-0.083109,-0.481040,0.087682
-0.078774,-0.484307,0.087525
-0.074762,-0.483173,0.087483
-0.070628,-0.480419,0.087902
-0.066580,-0.479318,0.088258
-0.062748,-0.478229,0.088054
-0.057514,-0.486894,0.086453
-0.053202,-0.488720,0.086242
-0.048134,-0.480978,0.087693
-0.043064,-0.479294,0.088084
-0.038587,-0.480821,0.087497
-0.033891,-0.479563,0.087593
-0.029108,-0.480376,0.087517
-0.024059,-0.480042,0.087334
-0.018820,-0.477734,0.087579
-0.013860,-0.482142,0.087154
-0.009416,-0.484518,0.086685
-0.004702,-0.487745,0.085722
0.000212,-0.484711,0.086747
0.003926,-0.492888,0.086018
0.008510,-0.483899,0.086882
0.015502,-0.474047,0.088318
0.019624,-0.479984,0.088025
0.023117,-0.480726,0.087826
0.027680,-0.481410,0.087712
0.031831,-0.485138,0.087764
0.035969,-0.481089,0.088025
0.040684,-0.476722,0.088016
0.046246,-0.474744,0.087966
0.049830,-0.481670,0.087188
0.054155,-0.483725,0.086871
0.057550,-0.484646,0.086593
0.061811,-0.481356,0.086678
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
